问题,答案
"1.STM32启动程序过程","###  Bootloader 1.依据boot引脚选择启动区域 | 引脚 | 启动方式   | 描述                                           | | ---- | ---------- | ---------------------------------------------- | | x 0  | 片内Flash  | 代码区启动，ICP下载（SWD、JTAG烧录）           | | 0 1  | 系统存储器 | 内置ROM启动，ISP下载（出厂预置代码，UART烧录） | | 1 1  | SRAM       | RAM启动，掉电丢失                              | 2.运行bootloader ![20200807100320959.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/20200807100320959.png) ​	处理器会将各个寄存器的值初始化为默认值 2.1 硬件设置SP、PC，进入复位中断函数Rest_Hander() - 从0x0800 0000读取数据赋值给**栈指针**SP(MSP)，设置为栈顶指针0x2000 0000+RAM_Size - 从0x0800 0004读取**复位中断函数地址数据赋值给PC**（指向Reset_Handler中断服务函数） ```c Reset_Handler: LDR R0, =SystemInit  // 加载 SystemInit 函数的地址到 R0 寄存器 BLX R0               // 跳转到 SystemInit 函数 LDR R0, =__main      // 加载 __main 函数的地址到 R0 寄存器 BX R0                // 跳转到 __main 函数 ``` 2.2 设置系统时钟，进入SystemInit() - 设置RCC寄存器各位（**配置系统时钟**） - 设置**中断向量表偏移地址** ```c #ifdef VECT_TAB_SRAM SCB->VTOR = SRAM_BASE | VECT_TAB_OFFSET; /* Vector Table Relocation in Internal SRAM. */ #else SCB->VTOR = FLASH_BASE | VECT_TAB_OFFSET; /* Vector Table Relocation in Internal FLASH. */ #endif ``` 2.3 软件设置PC，跳转到__main（系统初始化函数） ```c LDR R0,=__main BX R0 ``` - 拷贝Flash中的数据（data段包含已初始化的全局和静态变量）进入SRAM（哈弗体系结构决定了：数据与代码分开存储，flash断电不丢数据） - 清零bss段（包含未初始化的全局和静态变量） ​		![0ea95a362db5457185191faf18069262.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/0ea95a362db5457185191faf18069262.png) 3 跳转到main() ```assembly BL main ``` ![v2-1224644e63357ad886348dd630d9bce7_720w.webp](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/v2-1224644e63357ad886348dd630d9bce7_720w.webp) ![image-20230714215157086.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230714215157086.png) ### 自己实现OTA 可以在应用程序中实现OTA升级，而不需要修改原来的Bootloader。在新固件写入到Flash中的备用区域后，可以通过代码跳转到新固件。以下是详细步骤： **1. 确定存储布局** 假设你的存储布局如下： - **应用程序区域**：0x08000000 - 0x0807FFFF（512KB） - **新固件区域**：0x08080000 - 0x080FFFFF（512KB） **2. 应用程序中的OTA接收和写入逻辑** 应用程序通过无线通信接口接收新固件并写入Flash备用区域。更新完成后，跳转到新固件。 **示例代码** ```c #include ""stm32f4xx_hal.h"" #define NEW_FIRMWARE_START_ADDRESS 0x08080000 void SystemClock_Config(void); void Wireless_Init(void); bool ReceiveData(uint8_t *data); void ReceiveAndFlashNewFirmware(void); void JumpToApplication(uint32_t address); int main(void) { HAL_Init(); SystemClock_Config(); Wireless_Init(); while (1) { // 检查是否有新的固件需要更新 if (/* 检测到需要更新 */) { ReceiveAndFlashNewFirmware(); JumpToApplication(NEW_FIRMWARE_START_ADDRESS); } } } void SystemClock_Config(void) { // 配置系统时钟 } void Wireless_Init(void) { // 初始化无线通信接口，如Wi-Fi、BLE等 } void ReceiveAndFlashNewFirmware(void) { uint8_t data; uint32_t address = NEW_FIRMWARE_START_ADDRESS; HAL_FLASH_Unlock(); FLASH_EraseInitTypeDef EraseInitStruct; uint32_t PageError; EraseInitStruct.TypeErase = FLASH_TYPEERASE_SECTORS; EraseInitStruct.VoltageRange = FLASH_VOLTAGE_RANGE_3; EraseInitStruct.Sector = FLASH_SECTOR_8; // 选择正确的扇区 EraseInitStruct.NbSectors = 8; // 擦除的扇区数量 if (HAL_FLASHEx_Erase(&EraseInitStruct, &PageError) != HAL_OK) { return; } while (ReceiveData(&data)) { if (HAL_FLASH_Program(FLASH_TYPEPROGRAM_BYTE, address, data) != HAL_OK) { return; } address++; } HAL_FLASH_Lock(); } bool ReceiveData(uint8_t *data) { // 实现具体的接收数据逻辑，通过无线接口接收 return true; } void JumpToApplication(uint32_t address) { void (*appResetHandler)(void) = (void (*)(void))(*((uint32_t *)(address + 4))); __disable_irq(); SCB->VTOR = address; __set_MSP(*(volatile uint32_t *)address); appResetHandler(); } ``` ### **新固件配置** 在实现OTA更新时，新固件的某些方面需要特别注意，以确保固件能够正确执行和跳转。以下是一些关键点和需要注意的事项： **示例：链接脚本（.ld 文件）** 假设新固件的起始地址为 `0x08080000`，链接脚本的示例如下： ```ld MEMORY { FLASH (rx)      : ORIGIN = 0x08080000, LENGTH = 512K RAM (xrw)       : ORIGIN = 0x20000000, LENGTH = 128K } ``` **示例：启动文件（.S 文件）** 需要确保向量表和启动代码能正确配置。 OTA更新过程中，会往flash中的一个固定地址写入新固件的起始地址。 在.s文件中自定义Reset_Handler函数，会先读取这个新固件的地址，在初始化完成之后使其跳转到新固件的地址。 **设置向量表偏移** 当新固件启动时，Bootloader应当设置正确的向量表偏移，以确保新固件的中断向量表能够正常工作。这通常在Bootloader的跳转代码中完成"
"什么是编译？编译的主要作用是什么？","编译是将高级编程语言（如 C、C++、Java 等）编写的源代码转换为计算机可以执行的机器代码（或中间代码、字节码）的过程。

---"
"21.FreeRTOS内核中实现驱动隔离的主要目的是什么？","实现驱动隔离的主要目的是为了提高代码的模块性和可维护性，同时减少上层应用与硬件之间的直接依赖。  
驱动隔离通常意味着创建一个抽象层，使应用代码与硬件操作解耦。"
"什么是MPU（Memory Protection Unit）？","**MPU**（Memory Protection Unit）是一种**硬件设备**，用于增强嵌入式系统的安全性和稳定性，通过管理每个程序对内存的访问权限。它的主要功能是防止软件错误对系统操作产生不良影响，以及隔离不同程序之间的内存访问，保护系统免受恶意软件攻击。  

**MPU：**通过MPU对存储器的某些区域进行属性设置，设置其对特权级/用户级开放，可读可写/只读/只写、禁止访问、全访问、支持/禁止CACHE、缓冲等等的属性，通过MPU管理存储器，不至于某块内存被非法访问、数据破坏、CACHE等等。"
"如何将Flash中的代码放到SRAM中运行？","1. **链接脚本（.ld）定义RAM段**：  
   - 在链接脚本中定义一个名为 `.ramcode` 的新段，该段放置在RAM中，但**初始内容存储在Flash中**。  
   - 使用 `AT> FLASH` **指定初始内容在Flash中的存储位置**。  
   - 链接脚本中定义的符号（如 `_eramcode`）会在链接过程中被解析，并被.s文件获取。  
   - 通过 `__attribute__((section("".ramcode"")))` 告诉编译器将指定函数放置在 `.ramcode` 段中，**具体地址由链接脚本确定**。  
   ```ld
   .ramcode : {
   _sramcode = .;  /* RAM代码段起始地址 */
   *(.ramcode*)    /* 代码段放置在此 */
   _eramcode = .;  /* RAM代码段结束地址 */
   } > RAM AT> FLASH
   ```

2. **启动代码复制段**：  
   - 在 `Reset_Handler` 中添加逻辑，将 `.ramcode` 段**从Flash复制到RAM**。  
   - 获取链接脚本中定义的地址符号，并像复制.data段一样完成复制操作。  
   ```assembly
   .extern _sidata
   .extern _sdata
   .extern _edata
   .extern _sirambegin
   .extern _sramcode
   .extern _eramcode
   Reset_Handler:
   /* 设置初始堆栈指针 */
   ldr   sp, =_estack
   /* 复制数据段初始化数据从Flash到RAM */
   ldr   r0, =_sidata
   ldr   r1, =_sdata
   ldr   r2, =_edata
   1:  cmp   r1, r2
   ittt  lt
   ldrlt r3, [r0], #4
   strlt r3, [r1], #4
   blt   1b
   /* 复制代码段从Flash到RAM */
   ldr   r0, =_sirambegin
   ldr   r1, =_sramcode
   ldr   r2, =_eramcode
   3:  cmp   r1, r2
   ittt  lt
   ldrlt r3, [r0], #4
   strlt r3, [r1], #4
   blt   3b
   ```

3. **声明和使用SRAM中的函数**：  
   `__attribute__((section("".ramcode"")))` 是GCC的扩展属性，用于将函数或变量放置在指定内存段中。  
   ```c
   void my_sram_function(void) __attribute__((section("".ramcode"")));
   //__attribute__((section("".ramcode""))) 告诉编译器将 my_sram_function 放置在名为 .ramcode 的段中。
   void my_sram_function(void) {
   // 这里是需要在SRAM中运行的代码
   }
   ```"
"5.堆和栈的区别是什么？","- **栈的动态分配**：主要是由编译器分配，由编译器自动释放；  
- **堆的动态分配**：通过 `pvPortMalloc` 和 `vPortFree` 手动管理实现，由程序员手动释放  

| 区别点     | 栈                                                                 | 堆                                                                 |
| ---------- | ------------------------------------------------------------------ | ------------------------------------------------------------------ |
| 申请方式   | 系统分配与回收（栈内存分配运算内置于处理器的指令集）；             | 程序员申请与释放；                                                 |
| 方向       | 高地址—》低地址；                                                  | 低地址—》高地址；                                                  |
| 碎片问题   | 无碎片FIFO；                                                       | 存在内外碎片；                                                     |
| 存放内容   | 函数返回地址、局部变量的值；                                       | 用户定义；                                                         |
| 分配方式   | 栈的动态分配主要是由编译器分配，由编译器自动释放；                 | 堆只有动态分配用通过 `pvPortMalloc` 和 `vPortFree` 手动管理实现，由程序员手动释放； |
| 内存位置   | 位于芯片的 SRAM；                                                  | 位于芯片的 SRAM；                                                  |"
"Flash和SRAM的用途和特点分别是什么？","|      | Flash                                | SRAM                                                         |  
| ---- | ------------------------------------ | ------------------------------------------------------------ |  
| 用途 | 存储程序代码、存储常量数据           | 存储运行时数据（局部变量、全局变量、堆栈（Stack）和动态内存分配（Heap））、缓冲区 |  
| 特点 | 掉电保存、读写速度慢、可擦写，1024KB | 掉电丢失、读写速度快、192KB                                  |"
"简述处理器在读内存的过程中，CPU 核、cache、MMU 如何协同工作?并画出 CPU 核、 cache、MMU 、内存之间的关系示意图。","**MMU的作用：**现代操作系统采用虚拟内存管理，这需要MMU(内存管理单元)的支持。MMU就是负责**虚拟地址**(virtual address)转化成**物理地址**。  
**用MMU的：**`cortex-A`  windowsMacOs、Linux、Android  
**不用MMU的：**`cortex-M`  FreeRTOS、VxWorks、Ucos  
**MMU工作过程：**如果 CPU 启用了 MMU，CPU内核发出的地址将被 MMU截获,这时候从 CPU到 MMU的地址称为虚拟地址，而 MMU将这个 VA 翻译成为 PA发到 CPU 芯片的外部地址引脚上，也就是将 VA 映射到 PA中。  
![image-20240701182606182.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20240701182606182.png)  
**注：TLB是一种cache**  

---"
"RTOS内存管理中heap_1~5的内存分配方式有何区别？","**heap_1~5中除了heap_3分配在堆上，其余算法在.bss段开辟静态空间进行管理。没有内存池，可以自己实现。**  
```c
// 定义内存堆的大小
#define configTOTAL_HEAP_SIZE (8 * 1024) // 8KB
// 全局变量 ""uc_heap"" 的定义
static uint8_t ucHeap[configTOTAL_HEAP_SIZE];
uint8_t *ucHeap = ucHeap;
```"
"RS232、485、UART、TTL之间有什么关系？","***RS232、TTL和RS485***都是串行通信接口标准，它们与UART（通用异步收发传输器）有一定的联系但又有重要的区别。**都是三根线。**  
- **RS232**和**TTL**都可以看作是UART信号的不同物理实现，一个用于较远距离通信，一个用于近距离或板间通信。  
- **RS485**是一种差分信号标准，适用于长距离和多设备网络通信。"
"什么是计算机中的Cache？它的主要作用是什么？","Cache是一种位于CPU和DDR RAM之间的缓存机制，为CPU和DDR之间的读写提供内存缓冲区。  
它的主要作用是拉近CPU和DDR直接的性能差异，提高整个系统性能。  
Cache读写速度比DDR快很多，可以一次性读取一块区域的数据/指令到cache里，减少对低速DDR的反复访问。"
"CAN协议中的CRC校验是什么？","CAN（控制器局域网）协议中的CRC（循环冗余校验）是一种用于检测传输过程中帧错误的机制。每个CAN帧都包含一个CRC字段，该字段是根据帧的其他部分（起始位、帧ID、控制位、数据长度代码、数据字段等）计算出来的。接收方会对接收到的帧执行相同的CRC计算，并将计算结果与接收到的CRC字段进行比较，以验证数据的完整性。"
"STM32 DMA数据传输有哪些注意事项？","- 当外部设备需要与主存储器进行数据交换时，需要通过中央处理器（CPU）作为中介来完成数据传输操作。然而，在大量数据传输的情况下，这样的方式会造成CPU过多地参与数据传输，降低了整体性能。  
- CPU将外设数据搬运到内存的顺序：  
  1. 外设设置状态寄存器置位  
  2. CPU读取外设数据寄存器到CPU通用寄存器  
  3. CPU将通用寄存器数据写入内存  
- **DMA**：CPU不介入情况下，将数据在外设与内存中传递。**DMA会节约总线资源吗（不能，他只是节约了CPU）**  
  ![image-20230706174634517.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230706174634517.png)  

### DMA配置  
1. 配置DMA控制器：设置DMA通道、数据传输方向（外设到存储器或存储器到外设）、传输模式（单次传输、循环传输等）、数据宽度、传输计数等参数  
2. 分配内存：如果是外设到存储器的数据传输，需要分配一块足够大小的缓冲区  
3. 配置DMA通道：将外设和DMA通道连接起来，通常需要配置外设的DMA请求触发方式和DMA通道的优先级等参数。  
4. 触发DMA传输：启动数据的传输。DMA控制器将自动执行数据的传输，而不需要CPU的干预。  

### **实际应用**  
- 分析性能瓶颈在哪，是数据频率还是数据量过大  
- 数据频率：双DMA BUF  
- 数据量：单个大 DMA BUF"
"CAN网络为什么需要终端电阻？终端电阻的作用是什么？","1. **阻抗匹配：**  
   CAN网络是基于双绞线传输的差分信号。为了最大限度地减少信号反射，提高信号质量，需要在CAN网络的两端分别添加终端电阻，以匹配网络的特性阻抗（通常为120欧姆）。如果没有适当的阻抗匹配，信号反射可能导致数据误差和通信干扰。  

2. **提高信号完整性：**  
   通过防止信号反射，终端电阻有助于保持数据的完整性，确保数据在整个网络中稳定、准确地传输。  

3. **确保差分信号电压：**  
   在信号显性状态期间，总线的寄生电容会被充电，而在恢复到隐性状态时，这些电容需要放电，终端电阻帮助放电。  

***信号反射***  
信号反射是电信号在传输线（如同轴电缆、双绞线等）中遇到阻抗不连续时发生的现象。当电信号遇到这种阻抗不连续时，部分信号会被反射回源头，而非全部传输到目的地。这种反射会引起多种问题，如信号干扰、数据丢失或误差，尤其在高速通信中影响显著。  

***阻抗匹配***  
阻抗匹配是指使信号源、传输线、和负载（接收端）之间的阻抗保持一致，以最大限度地减少或消除信号反射。传输线的特性阻抗是线材和其结构决定的固有属性，而不依赖于线路的长度。标准的CAN网络使用的双绞线特性阻抗为120欧姆。  

> 参考：[小电阻大作用](https://zhuanlan.zhihu.com/p/26096996)"
"6.1 IMU和四元数中解算欧拉角的过程是怎样的？","1. SPI读取六轴角度  
2. 积分消除零偏（主要受地区g影响）、温度补偿消除温飘  
3. 数据过低通滤波  
4. Mahony计算四元数（通过角速度积分计算姿态，用加速度进行误差修正）  
5. 四元数反解欧拉角"
"什么是任务栈爆炸？它的常见原因有哪些？","**常见原因**  
1. **任务栈分配不足**：  
- 每个任务在创建时都会分配一定的栈空间。如果任务执行过程中使用的栈超过了分配的大小，就会导致栈溢出。  
2. **递归调用**：  
- 递归调用可能导致栈深度迅速增加，特别是没有退出条件或退出条件不充分的递归。  
3. **嵌套中断**：  
- 中断服务程序（ISR）如果占用过多栈空间，也可能导致栈溢出，尤其是嵌套中断的情况。  

---"
"I2C如何分辨读和写操作？","分辨读和写操作是通过在地址帧之后的一个读/写位（R/W bit）来实现的。这个 R/W 位决定了主机（Master）是要读取从机（Slave）的数据还是写数据到从机。  

- **R/W 位是由主机发送的**：用于指示当前操作是读还是写。  
- **R/W 位为 0**：主机向从机写数据。  
- **R/W 位为 1**：主机从从机读数据。  
- **从机根据 R/W 位的状态执行操作**：从机根据主机发送的 R/W 位决定是接收数据（写操作）还是发送数据（读操作）。"
"4.1 电机的电流传递函数 \(I(s)\) 是什么？它如何描述电机的动态行为？","```markdown
这个方程表示电机电流 \(I(s)\) 在s域中的表达式。它说明了电流是输入电压 \(U(s)\) 和由电机速度 \(\Omega(s)\) 产生的反电动势相减之后，经过电感 \(L\) 和电阻 \(R\) 的效果得到的。  
这里 \(K\) 是反电动势常数，\(Ls\) 表示电感对电流变化率的影响，而 \(R\) 表示电阻对电流的阻碍作用。
```"
"8.弹道解算中已知坐标和距离时，如何求补偿角度？","**竖直方向(z)的计算公式**：  
$$
z = v_0tsinθ - \frac{1}{2}gt^2
$$  
**方法**：  
用二分法猜角度并带入公式求Z，当Z误差足够小时退出。  

**Python实现代码**：  
```python
def calculate_trajectory(v0, theta, x0, y0, xf, yf, g=9.81):
    R = xf - x0
    theta_rad = math.radians(theta)
    t_flight = R / (v0 * math.cos(theta_rad))
    y_final = y0 + v0 * t_flight * math.sin(theta_rad) - 0.5 * g * t_flight**2
    return y_final

def find_launch_angle(v0, x0, y0, xf, yf, g=9.81, tolerance=1e-6):
    low = 0
    high = 90
    while high - low > tolerance:
        mid = (low + high) / 2
        y_mid = calculate_trajectory(v0, mid, x0, y0, xf, yf, g)
        if y_mid > yf:
            high = mid
        else:
            low = mid
    return (low + high) / 2
```

---"
"什么是卡尔曼滤波器(KF)？它的主要作用是什么？","卡尔曼滤波器(KF)主要用于过滤高斯噪声（白噪声）。

**实际应用**  
- 电机数据滤波，去除噪声  
- 视觉数据预测，补帧  

**核心原理**  
通过k-1时刻的最优估计值预测k时刻的理论值，并根据k时刻的测量值，进行数据融合，得到k时刻的最优估计值（线性离散时不变系统，误差正态分布）。通过不断更新卡尔曼增益来最小化估计值的方差，从而获得对系统状态的最优估计。

```c
// 系统方程
x(k) = A · x(k-1) + B · u(k) + w(k)  // 预测方程
z(k) = H · x(k) + y(k)               // 观测方程
```

**关键参数**  
- A、B、H：系统参数  
- Q：过程噪声协方差  
- R：测量噪声协方差  

**算法实现**  
```c
// 时间更新（预测）
x(k|k-1) = A · x(k-1|k-1) + B · u(k)
P(k|k-1) = A · P(k-1|k-1) · AT + Q
K(k) = P(k|k-1) · HT · (H · P(k|k-1) · HT + R)-1

// 测量更新（校正）
x(k|k) = x(k|k-1) + K(k) · (z(k) - H · x(k|k-1))
P(k|k) = (I - K(k) · H) · P(k|k-1)
```

**简化实现示例**  
```c
float Kalman_Filter(float data) {
    static float prevData = 0;
    static float p = 1, q = 1, r = 5, kGain;
    p += q;
    kGain = p / (p + r);
    data = prevData + (kGain * (data - prevData));
    p = (1 - kGain) * p;
    prevData = data;
    return data;
}
```

**结构化实现**  
```c
typedef struct {
    float LastP, Now_P, out, Kg, Q, R;
} KFP;

float kalmanFilter(KFP *kfp, float input) {
    kfp->Now_P = kfp->LastP + kfp->Q;
    kfp->Kg = kfp->Now_P / (kfp->Now_P + kfp->R);
    kfp->out += kfp->Kg * (input - kfp->out);
    kfp->LastP = (1 - kfp->Kg) * kfp->Now_P;
    return kfp->out;
}
```"
"9. 怎么理解IIC（I²C）总线？","**I²C 总线的基本概念**  
1. **双线通信**：  
   - I²C 总线使用两条线进行通信：  
     - **SDA**：数据线，负责在设备之间传输数据。  
     - **SCL**：时钟线，由主设备生成，用于同步数据传输。  

2. **主从架构**，**应答机制**：  
   - I²C 总线采用主从架构，一个主设备（Master）可以控制一个或多个从设备（Slave）。  
   - 谁生成时钟信号谁就是主设备，从设备根据主设备的指令进行响应。  
   - 有一套完整的应答机制保证数据传输的准确性。  

3. **设备地址**：  
   - 每个从设备都有一个唯一的7位或10位地址，主设备通过地址选择具体的从设备进行通信。  

4. **双向通信**：  
   - 数据线（SDA）是双向的，可以在主设备和从设备之间传输数据。  
   - 主设备可以写数据到从设备，也可以从从设备读取数据。  

**I²C 总线的工作原理**  
1. **启动和停止条件**：  
   - **启动条件（Start Condition）**：当SCL高电平时，SDA从高电平变为低电平，表示通信的开始。  
   - **停止条件（Stop Condition）**：当SCL高电平时，SDA从低电平变为高电平，表示通信的结束。  

2. **数据传输**：  
   - 数据以字节为单位传输，每个字节包含8位数据。  
   - 每传输一个字节后，发送设备会释放SDA线，接收设备通过拉低SDA线发送一个确认位（ACK），表示成功接收数据。如果接收设备不拉低SDA线，则表示不确认（NACK）。  

3. **读写操作**：  
   - **写操作**：主设备发送从设备地址和写指令（最低位为0），然后发送数据字节。  
   - **读操作**：主设备发送从设备地址和读指令（最低位为1），然后从从设备读取数据字节。  

**I²C 总线的优点**  
1. 节省引脚和线路  
2. 简单易用  
3. 多主设备支持  

**I²C 总线的局限性**  
1. 传输速率限制  
2. 距离限制"
"SPI和I²C的区别是什么？","| 特性         | SPI                                        | I²C                                                        |  
| ------------ | ------------------------------------------ | ---------------------------------------------------------- |  
| 通信方式     | 全双工（同时发送和接收）                   | 半双工（单方向发送或接收）                                 |  
| 信号线       | 4 条（MOSI, MISO, SCK, SS/CS）             | 2 条（SDA, SCL）                                           |  
| 最大数据速率 | 高达几十 MHz                               | 标准模式：100 kbps，快速模式：400 kbps，高速模式：3.4 Mbps |  
| 主从设备     | 单主多从                                   | 多主多从                                                   |  
| 设备选择方式 | 通过独立的片选线选择从设备                 | 通过设备地址选择从设备                                     |  
| 复杂度       | 简单                                       | 较复杂                                                     |  
| 硬件实现     | 简单，易于实现                             | 较复杂，需要处理地址和仲裁                                 |  
| 典型应用     | 高速数据传输，短距离通信，如 SD 卡、显示屏 | 低速通信，需要地址管理，如 EEPROM、传感器                  |  
| 总线拉低时间 | 无                                         | 有，影响速度                                               |  

### **速度差异的原因**  
| 特性               | SPI                              | I²C                                         |  
| ------------------ | -------------------------------- | ------------------------------------------- |  
| **信号驱动方式**   | 推挽驱动，可快速拉高拉低         | 开漏驱动 ，拉高时间取决于上拉电阻           |  
| **信号线数量**     | 4 条（MOSI, MISO, SCK, SS/CS）   | 2 条（SDA, SCL）                            |  
| **通信模式**       | 全双工、两条线同时通信           | 半双工、只有一条数据线                      |  
| **设备选择方式**   | 独立的片选线 (CS)                | 通过设备地址 、增加时间                     |  
| **协议开销**       | 低、没有复杂的握手信号和确认机制 | 高、包含地址帧、应答位（ACK/NACK）、读/写位 |  
| **握手和仲裁机制** | 无                               | 有                                          |"
"什么是SPI时钟不匹配？","SPI是主从同步通信协议，时钟信号（CLK）由主设备生成并控制通信节奏，所有从设备都依赖该时钟信号同步数据传输。"
"什么是重力补偿中的重力矩公式？","$$
M_g = m \cdot g \cdot r_g \cdot \sin(\theta)
$$  
其中，\( r_g \) 是重心到P轴的垂直距离。"
"什么是FOC（磁场定向控制）及其工作原理？","1. FOC通过**Clarke变换和Park变换**将三相交流电流和电压转换为两相直流分量（d轴和q轴）。  
2. 然后通过**PI调节器独立控制d轴电流和q轴电流**，从而实现对电机磁通和转矩的精确控制。  
3. 提高电机的动态性能和运行效率，使其在各种转速和负载条件下保持平稳高效运行。"
"什么是涡流传感器？","涡流传感器是一种基于电磁感应原理的传感器，通过检测导体材料中涡流的变化来测量位移、厚度、导电率等参数。  

（注：由于提供的“内容”部分为空，答案部分为根据标题“涡流传感器”生成的通用解释。若需补充具体内容，请提供详细笔记文本。）"
"如何将相机内的目标的四个点转换为实际的坐标点？","假设相机视角中的四个顶点坐标为：  
- $$P1' = (100, 100)$$（零点左下角）  
- $$P2' = (200, 150)$$  
- $$P3' = (250, 250)$$  
- $$P4' = (150, 200)$$  

**步骤 1：计算方向向量和倾角**  
选择一个方向向量（比如$$V1' = P2' - P1'$$）：  
$$V1' = (200 - 100, 150 - 100) = (100, 50)$$  
计算方向向量的倾角：  
$$\theta' = \arctan2(50, 100) = \arctan2(1, 2) \approx 0.4636 \text{ 弧度} \approx 26.57^\circ$$  

**步骤 2：构建旋转矩阵**  
根据计算的倾角 \(\theta'\)，构建旋转矩阵 \(R\)：  
$$
R = \begin{pmatrix}
\cos(0.4636) & -\sin(0.4636) \\
\sin(0.4636) & \cos(0.4636)
\end{pmatrix}
= \begin{pmatrix}
0.8944 & -0.4472 \\
0.4472 & 0.8944
\end{pmatrix}
$$  

**步骤 3：应用旋转矩阵将点转换到相机坐标系**  
对于长方体内的任意一点 \(P'' = (x'', y'')\)（相对于左下角点 \(P1'\) 的坐标），可以通过以下步骤计算其在相机坐标系中的坐标 \(P' = (x', y')\)。  
假设我们选择点 \(P'' = (10, 20)\)：  
1. 计算相对于左下角点的偏移量：  
$$
\Delta P = \begin{pmatrix}
10 \\
20
\end{pmatrix}
$$  
2. 应用旋转矩阵 \(R\) 将偏移量转换到相机坐标系中：  
$$
\Delta P' = R \cdot \Delta P = \begin{pmatrix}
0.8944 & -0.4472 \\
0.4472 & 0.8944
\end{pmatrix} \cdot \begin{pmatrix}
10 \\
20
\end{pmatrix}
$$  
$$
\Delta P' = \begin{pmatrix}
0.8944 \cdot 10 + (-0.4472) \cdot 20 \\
0.4472 \cdot 10 + 0.8944 \cdot 20
\end{pmatrix} = \begin{pmatrix}
8.944 - 8.944 \\
4.472 + 17.888
\end{pmatrix} = \begin{pmatrix}
0 \\
22.36
\end{pmatrix}
$$  
3. 将转换后的偏移量加上左下角点的坐标，得到在相机坐标系中的最终坐标：  
$$
P' = \Delta P' + P1' = \begin{pmatrix}
0 \\
22.36
\end{pmatrix} + \begin{pmatrix}
100 \\
100
\end{pmatrix} = \begin{pmatrix}
100 \\
122.36
\end{pmatrix}
$$  
因此，长方体内任意一点的坐标 \(P'' = (10, 20)\) 在相机坐标系中的最终坐标 \(P' = (100, 122.36)\)。"
"为什么static修饰的变量在别的文件不可访问？","根本原因是**链接过程中的符号解析规则**。`static`关键字通过限制符号的可见性范围至定义它的文件（编译单元），在根本上阻止了跨文件访问。

1. **编译阶段**：在编译阶段，编译器将 .c文件---->编译----->.o文件。在这个过程中，编译器会处理源代码中的`static`声明，并将这些`static`变量或函数标记为仅在当前源文件内部可见。这意味着这些符**号不会被导出到目标文件的符号表**中。

2. **链接阶段**：链接阶段是构建过程的第二步，链接器将所有的目标文件和库文件合并成最终的可执行文件。在这个过程中，链接器解析程序中的符号引用，将每个引用关联到它的定义上。如果一个符号被声明为`static`，**它的定义就不会出现在目标文件的全局符号表中，因此链接器无法在其他目标文件中找到它的引用**。

***\*链接错误的原因\****  
**链接器在全局符号表中找不到这个符号**，因此无法解析引用，导致链接错误。"
"15. PID怎么调？","[从不懂到会用！PID从理论到实践~_哔哩哔哩_bilibili](https://www.bilibili.com/video/BV1B54y1V7hp/?spm_id_from=333.337.search-card.all.click&vd_source=1d37ae9e25605e1121cee9187de16dab)

**双环控制原理**：
- 速度环负责快速控制动态响应，角度环负责慢速控制最终目标。
- 控制系统的输出为电流，通过电机系统的速度传递函数控制角速度。

**为什么要双环？**
1. **提高响应速度和稳定性**：
  - 内环的快速响应有助于迅速抑制扰动，外环的慢速调整有助于保证系统的精确度。
2. **分离控制目标**：
  - 将复杂的控制问题分解为两个相对简单的控制任务。
  - 通过分离控制目标，设计和调试PID参数变得更加简单和有效。

**串级PID的优势**：
1. **不同工况适应性**：
  - 当电机负载不同时，串级PID能让电机速度更快地跟随。
2. **系统稳态要求**：
  - 引入内环后可以约束稳态速度减小到0，避免震荡。
3. **限制速度**：
  - 内环可以采用输出限幅的方式限制转速。

**如何评价PID系统好坏**：
1. **稳态误差**：通过调节P和I参数减小误差
2. **上升时间**：主要受P参数影响
3. **调节时间**：受P、I、D参数共同影响
4. **超调量**：主要通过调节P和D参数控制
5. **稳定性**：综合调节P、I、D参数保证稳定性
6. **响应速度和抑制扰动能力**

**调整PID参数的方法**：
1. **初步设置**：
  - 关闭I和D，调整P直到系统达到临界振荡
  - 找到临界增益𝐾𝑢和临界周期Pu
2. **设置初始PID参数**：
  - 根据Ziegler-Nichols等经验公式设置
3. **进行闭环测试**：
  - 施加阶跃输入观察响应曲线
4. **参数微调**：
  - 根据响应曲线调整参数
5. **频域验证**：
  - 进行频域分析
6. **实际应用测试**：

**Ziegler-Nichols参数表**：
| 控制器类型 | 比例增益 \( K_p \)    | 积分增益\( K_i \)                | 微分增益 \( K_d \)             |
| ---------- | --------------------- | -------------------------------- | ------------------------------ |
| P          | $$( K_p = 0.5K_u )$$  | -                                | -                              |
| PI         | $$( K_p = 0.45K_u )$$ | $$( K_i = \frac{K_pP_u}{1.2} )$$ | -                              |
| PID        | $$( K_p = 0.6K_u )$$  | $$( K_i = \frac{K_pP_u}{2} )$$   | $$( K_d = \frac{K_pP_u}{8} )$$ |"
